station_id,time,num_bikes_available,name,lat,lon,hour
159,2022-05-14T02:18:40Z,15,10th & K St NW,38.9024,-77.02622,2
169,2022-05-14T02:18:40Z,6,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888767,-77.02858,2
207,2022-05-14T02:18:40Z,16,5th St & Massachusetts Ave NW,38.90093,-77.018677,2
210,2022-05-14T02:18:40Z,19,3rd & M St NE,38.9054697149433,-77.0021304488182,2
242,2022-05-14T02:18:40Z,14,12th & U St NW,38.916787,-77.028139,2
369,2022-05-14T02:18:40Z,10,2nd & G St NE,38.89967,-77.003666,2
370,2022-05-14T02:18:40Z,15,8th & O St NW,38.90864,-77.02277,2
391,2022-05-14T02:18:40Z,8,1st & O St NW,38.908643,-77.012365,2
408,2022-05-14T02:18:40Z,5,4th St & Madison Dr NW,38.890493,-77.017253,2
418,2022-05-14T02:18:40Z,22,14th & Irving St NW,38.928552,-77.032224,2
484,2022-05-14T02:18:40Z,14,11th & Girard St NW,38.925636,-77.027112,2
485,2022-05-14T02:18:40Z,11,Connecticut Ave & R St NW,38.912644,-77.04564,2
15,2022-05-14T03:18:40Z,15,14th & V St NW,38.917931,-77.032112,3
21,2022-05-14T03:18:40Z,15,Lamont & Mt Pleasant NW,38.9319,-77.0388,3
22,2022-05-14T03:18:40Z,21,4th & M St SW,38.8767,-77.0178,3
51,2022-05-14T03:18:40Z,25,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,3
92,2022-05-14T03:18:40Z,16,8th & H St NW,38.8997,-77.023086,3
99,2022-05-14T03:18:40Z,5,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,3
103,2022-05-14T03:18:40Z,31,Metro Center / 12th & G St NW,38.898364,-77.027869,3
105,2022-05-14T03:18:40Z,15,7th & F St NW / National Portrait Gallery,38.8972830485385,-77.0221906900406,3
106,2022-05-14T03:18:40Z,15,17th & K St NW / Farragut Square,38.902061,-77.038322,3
113,2022-05-14T03:18:40Z,16,Columbus Circle / Union Station,38.89696,-77.00493,3
124,2022-05-14T03:18:40Z,13,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,3
144,2022-05-14T03:18:40Z,8,3rd & G St SE,38.881185,-77.001828,3
148,2022-05-14T03:18:40Z,11,Columbia Rd & Georgia Ave NW,38.928121111321,-77.0237946510315,3
159,2022-05-14T03:18:40Z,15,10th & K St NW,38.9024,-77.02622,3
169,2022-05-14T03:18:40Z,6,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888767,-77.02858,3
207,2022-05-14T03:18:40Z,15,5th St & Massachusetts Ave NW,38.90093,-77.018677,3
210,2022-05-14T03:18:40Z,13,3rd & M St NE,38.9054697149433,-77.0021304488182,3
242,2022-05-14T03:18:40Z,13,12th & U St NW,38.916787,-77.028139,3
369,2022-05-14T03:18:40Z,12,2nd & G St NE,38.89967,-77.003666,3
370,2022-05-14T03:18:40Z,11,8th & O St NW,38.90864,-77.02277,3
391,2022-05-14T03:18:40Z,9,1st & O St NW,38.908643,-77.012365,3
408,2022-05-14T03:18:40Z,6,4th St & Madison Dr NW,38.890493,-77.017253,3
418,2022-05-14T03:18:40Z,19,14th & Irving St NW,38.928552,-77.032224,3
484,2022-05-14T03:18:40Z,18,11th & Girard St NW,38.925636,-77.027112,3
485,2022-05-14T03:18:40Z,9,Connecticut Ave & R St NW,38.912644,-77.04564,3
15,2022-05-14T04:18:25Z,12,14th & V St NW,38.917931,-77.032112,4
21,2022-05-14T04:18:25Z,18,Lamont & Mt Pleasant NW,38.9319,-77.0388,4
22,2022-05-14T04:18:25Z,6,4th & M St SW,38.8767,-77.0178,4
51,2022-05-14T04:18:25Z,22,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,4
92,2022-05-14T04:18:25Z,10,8th & H St NW,38.8997,-77.023086,4
99,2022-05-14T04:18:25Z,9,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,4
103,2022-05-14T04:18:25Z,31,Metro Center / 12th & G St NW,38.898364,-77.027869,4
105,2022-05-14T04:18:25Z,13,7th & F St NW / National Portrait Gallery,38.8972830485385,-77.0221906900406,4
106,2022-05-14T04:18:25Z,14,17th & K St NW / Farragut Square,38.902061,-77.038322,4
113,2022-05-14T04:18:25Z,16,Columbus Circle / Union Station,38.89696,-77.00493,4
124,2022-05-14T04:18:25Z,11,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,4
144,2022-05-14T04:18:25Z,10,3rd & G St SE,38.881185,-77.001828,4
148,2022-05-14T04:18:25Z,11,Columbia Rd & Georgia Ave NW,38.928121111321,-77.0237946510315,4
159,2022-05-14T04:18:25Z,14,10th & K St NW,38.9024,-77.02622,4
169,2022-05-14T04:18:25Z,6,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.888767,-77.02858,4
207,2022-05-14T04:18:25Z,11,5th St & Massachusetts Ave NW,38.90093,-77.018677,4
210,2022-05-14T04:18:25Z,12,3rd & M St NE,38.9054697149433,-77.0021304488182,4
242,2022-05-14T04:18:25Z,13,12th & U St NW,38.916787,-77.028139,4
369,2022-05-14T04:18:25Z,12,2nd & G St NE,38.89967,-77.003666,4
370,2022-05-14T04:18:25Z,13,8th & O St NW,38.90864,-77.02277,4
391,2022-05-14T04:18:25Z,10,1st & O St NW,38.908643,-77.012365,4
408,2022-05-14T04:18:25Z,11,4th St & Madison Dr NW,38.890493,-77.017253,4
